badge_icon,rank,badge_no,min_checkins,max_checkins,next_badge_at
https://drive.google.com/file/d/12o9X89jmW3BC6vqV4J4BrLaKKDNBjRQS/view?usp=share_link,White Hop,Badge 1,1,4,5
https://drive.google.com/file/d/13BoUnHyAkZQznyJ1iZuqWWLDb1tx8sOJ/view?usp=share_link,Yellow Hop,Badge 2,5,9,10
https://drive.google.com/file/d/1qpH3CCjfX5aA-mf4fXxXf5lkdX-EaX8w/view?usp=share_link,Orange Hop,Badge 3,10,24,25
https://drive.google.com/file/d/1LPeFXncm_Rm8PzAokS2jHYZTjewsbgVm/view?usp=share_link,Teal Hop,Badge 4,25,49,50
https://drive.google.com/file/d/1lA6fv9IZ1YiijjqvnXOA7LEm0Lo7txmu/view?usp=share_link,Red Hop,Badge 5,50,99,100
https://drive.google.com/file/d/1b2AjcN0R4xB9nkATKEbzo-TbRtHuzzEo/view?usp=share_link,Green Hop,Badge 6,100,249,250
https://drive.google.com/file/d/15o8od8fae21jFNV7qvnRZs3P-AbEh9NM/view?usp=share_link,Blue Hop,Badge 7,250,499,500
https://drive.google.com/file/d/1nMdikJsgYjo6b1Sr3lAuC1cEowY4_Vo_/view?usp=share_link,Purple Hop,Badge 8,500,999,1000
https://drive.google.com/file/d/1bSj-B1ibssWVtF5dQqg-YY6WC6o8pzAg/view?usp=share_link,Black Hop,Badge 9,1000,,
