Day,Brewery,Event,Title,Details,Time,Logo,Event Photo,Instagram,Twitter,Facebook,Address
Wednesday,FRENZY BREWING,GEEKS WHO DRINK TRIVIA,Frenzy's Geeks Who Drink Trivia,"Geeks Who Drink Pub Quiz is at the brewery every Wednesday beginning at 7 pm.

It's free to play, you can win prizes and Internet glory!

Do I need to sign up beforehand or can I just show up and play? Just show up. Seating fills up fast so show up early to ensure you get a table.

Team size is limited to six. Play solo if you'd like, but don't blame us if you're lonely.

All right, so what’s in it for me? Besides a couple hours of free entertainment, the top teams get bar prizes. Plus there are chances to win pints for answering five bonus questions throughout the evening. Finally, your team can revel in the eternal glory of having your photo posted.",7:00-9:00pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1NrQatim2P4Pu9Iv2rx7gPqRd66utO4HR/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Wednesday,FRENZY BREWING,HAPPY HOUR,Frenzy's Happy Hour,$5 pints until 6pm.,Open-6pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1_ICiiDqXjqMLrtSGIylN8aeZsd_byxIy/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Wednesday,LIVELY BEERWORKS,15% OFF,Lively's 15% Off Special,"To-go beer is 15% off all day. We have tacos. We have tamales. We have fresh, delicious beer on draft. Come get the good stuff!!",All Day,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/1K-Pthykx0nI_3Z4EgMxAbM2XPUdZNoj2/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Wednesday,ROUGHTAIL BREWING,BINGO-SINGO,Roughtail's Bingo,"Needing a mid-week escape? In need of a cold beer? We got you covered. Open at 3pm with Singo/Bingo kicking off at 7pm. Free to play, prizes for winners. ",7:00pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/XOz04RWfLvbwmFiDTNI3.jpeg,https://www.instagram.com/roughtailbrewingco/,https://twitter.com/Roughtailbeer,https://www.facebook.com/roughtailbeer/,"320 W. Memorial Rd., OKC, OK 73114"
Wednesday,SKYDANCE BREWING,HAPPY HOUR,Skydance's Happy Hour,$5 pints on year-round beers.,3:00-6:00pm,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1H4_DUT2nj6l6QuGdSFv-T8ugJtwq-mjJ/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
Thursday,BEER IS GOOD BREWING,BINGO,BIG's Bingo,Craft beer and BINGO make the perfect pair. Come experience this dynamic duo tonight at 7!,7:00-10:00pm,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://drive.google.com/file/d/1aEJdprt8zIsKCV1p-2fZ6qi6t9Mtbigh/view?usp=sharing,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Thursday,FRENZY BREWING,HAPPY HOUR,Frenzy's Happy Hour,$5 pints until 6pm.,Open-6pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1_ICiiDqXjqMLrtSGIylN8aeZsd_byxIy/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Thursday,LIVELY BEERWORKS,5K BEER RUN,Lively's Thursday 5k Beer Run,"Free 5k run + participants will receive a free pour after.

Check in with the bartender to get signed in. Either run with the group or on your own- route maps are available.

Must be 21 to claim beer, please run at your own risk.",6:30pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/14zSVQ5iJMDjJdcxHa3EnUMZzTI1fFJhM/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Thursday,ROUGHTAIL BREWING,TRIVIA NIGHT,Roughtail's Trivia Night,"Think you’re smart? Want to prove it? Join us on Thursdays from 7:00 to 9:00. Doors open at 3 pm and the kitchen opens at 4 pm. Multiple winners, gift cards, swag and frequent new releases! All ages welcome, free to play!",7-9pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/L7djNj7k5B5QMSlnmvWH.png,https://www.instagram.com/roughtailbrewingco/,https://twitter.com/Roughtailbeer,https://www.facebook.com/roughtailbeer/,"320 W. Memorial Rd., OKC, OK 73114"
Thursday,SKYDANCE BREWING,HAPPY HOUR,Skydance's Happy Hour,$5 pints on year-round beers.,3:00-6:00pm,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1H4_DUT2nj6l6QuGdSFv-T8ugJtwq-mjJ/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
